driverId,driver_age,driver_momentum,position_qualifying,q1_millis,reached_q1,q2_millis,reached_q2,q3_millis,reached_q3,constructorId,constructor_momentum,round,circuitId,grid,driver_track_affinity,constructor_track_affinity,constructor_dnf_rate,driver_dnf_rate,circuit_dnf_rate
155,28.060232717316907,19.0,21,97015.0,True,105249.1,False,104002.8,False,207,18.83333333333333,15,22,19,7.666666666666667,17.75,0.2169811320754717,0.2916666666666667,0.1838235294117647
817,25.2621492128679,3.0,6,95593.0,True,94466.0,True,94075.0,True,9,3.6666666666666665,15,22,6,15.0,6.25,0.1987577639751552,0.15625,0.1838235294117647
3,29.27310061601643,8.333333333333334,1,93671.0,True,92950.0,True,92506.0,True,131,7.666666666666667,15,22,1,12.333333333333334,12.75,0.1767955801104972,0.1801242236024844,0.1838235294117647
1,29.741273100616016,7.0,2,93611.0,True,92982.0,True,92703.0,True,131,7.666666666666667,15,22,2,7.6,12.75,0.1767955801104972,0.1608391608391608,0.1838235294117647
822,25.10335386721424,6.0,3,94301.0,True,93443.0,True,93128.0,True,3,6.5,15,22,3,17.0,13.666666666666666,0.2367601246105919,0.0909090909090909,0.1838235294117647
20,27.2580424366872,4.333333333333333,9,95517.0,True,94784.0,True,94432.0,True,9,3.6666666666666665,15,22,9,1.4,6.25,0.1987577639751552,0.1791044776119403,0.1838235294117647
18,34.71047227926078,10.666666666666666,8,95150.0,True,94648.0,True,94317.0,True,1,10.666666666666666,15,22,8,5.0,6.5,0.1739130434782608,0.1677018633540372,0.1838235294117647
818,24.44626967830253,10.0,11,95155.0,True,94984.0,True,104002.8,False,5,10.666666666666666,15,22,20,12.5,14.75,0.2919254658385093,0.2641509433962264,0.1838235294117647
820,23.457905544147845,18.33333333333333,22,97481.0,True,105249.1,False,104002.8,False,206,17.833333333333332,15,22,21,19.0,19.25,0.1333333333333333,0.0606060606060606,0.1838235294117647
13,33.445585215605746,7.0,4,94483.0,True,93551.0,True,93527.0,True,3,6.5,15,22,4,8.4,13.666666666666666,0.2367601246105919,0.1363636363636363,0.1838235294117647
